문제ID,실전,난이도,내용,OCR답
PRACTICAL_VE_001,실전,VERY EASY,"$(-2) \times (-3) - 1$의 값을 구하시오.",5
PRACTICAL_VE_002,실전,VERY EASY,"일차방정식 $2x - 8 = 0$의 해를 구하시오.",4
PRACTICAL_VE_003,실전,VERY EASY,"$x^2 \times x^4 = x^a$일 때, 자연수 $a$의 값을 구하시오.",6
PRACTICAL_VE_004,실전,VERY EASY,"$\sqrt{16} + \sqrt{9}$의 값을 구하시오.",7
PRACTICAL_VE_005,실전,VERY EASY,"자연수 $15$의 모든 소인수의 합을 구하시오.",8
PRACTICAL_VE_006,실전,VERY EASY,"연립방정식 $x+y=5$, $x-y=1$을 만족시키는 $x$의 값을 구하시오.",3
PRACTICAL_VE_007,실전,VERY EASY,"이차방정식 $x^2 - 5x + 6 = 0$의 두 근의 합을 구하시오.",5
PRACTICAL_VE_008,실전,VERY EASY,"좌표평면 위의 점 $(5, -4)$는 제 $k$사분면 위의 점이다. 이때 자연수 $k$의 값을 구하시오.",4
PRACTICAL_VE_009,실전,VERY EASY,"일차함수 $y=-x+8$의 그래프의 $y$절편을 구하시오.",8
PRACTICAL_VE_010,실전,VERY EASY,"다항식 $x^2-9$가 $(x-a)(x+a)$로 인수분해될 때, 양수 $a$의 값을 구하시오.",3
PRACTICAL_VE_011,실전,VERY EASY,"$|-9| - |2|$의 값을 구하시오.",7
PRACTICAL_VE_012,실전,VERY EASY,"$(x^3)^3 = x^a$일 때, 자연수 $a$의 값을 구하시오.",9
PRACTICAL_VE_013,실전,VERY EASY,"이차함수 $y=(x-1)^2+5$의 그래프의 꼭짓점의 $x$좌표를 구하시오.",1
PRACTICAL_VE_014,실전,VERY EASY,"세 자료 $1$, $3$, $5$의 평균을 구하시오.",3
PRACTICAL_VE_015,실전,VERY EASY,"일차부등식 $2x \le 5$를 만족하는 가장 큰 정수 $x$의 값을 구하시오.",2
PRACTICAL_VE_016,실전,VERY EASY,"$(\sqrt{7})^2 - \sqrt{(-3)^2}$의 값을 구하시오.",4
PRACTICAL_VE_017,실전,VERY EASY,"비례식 $x : 5 = 2 : 10$을 만족하는 $x$의 값을 구하시오.",1
PRACTICAL_VE_018,실전,VERY EASY,"다항식 $(x-2)^2 - 4$를 전개한 식이 $x^2 - 4x + a$일 때, 상수 $a$의 값을 구하시오.",0
PRACTICAL_VE_019,실전,VERY EASY,"이차방정식 $(x-2)(x-7)=0$의 두 근 중 작은 근을 구하시오.",2
PRACTICAL_VE_020,실전,VERY EASY,"등식 $\frac{1}{2} + \frac{1}{6} = \frac{a}{3}$를 만족하는 자연수 $a$의 값을 구하시오.",2
PRACTICAL_VE_021,실전,VERY EASY,"서로 다른 두 개의 주사위를 동시에 던질 때, 나오는 두 눈의 수의 합이 $4$가 되는 경우의 수를 구하시오.",3
PRACTICAL_VE_022,실전,VERY EASY,"빗변의 길이가 $x$이고 다른 두 변의 길이가 각각 $3$, $4$인 직각삼각형이 있다. $x$의 값을 구하시오.",5
PRACTICAL_VE_023,실전,VERY EASY,"자연수 $8$의 양의 약수의 개수를 구하시오.",4
PRACTICAL_VE_024,실전,VERY EASY,"일차함수 $f(x)=2x+1$에 대하여 $f(3)$의 값을 구하시오.",7
PRACTICAL_VE_025,실전,VERY EASY,"다음 자료 $0$, $0$, $1$, $2$, $3$의 최빈값을 구하시오.",0
PRACTICAL_E_001,실전,EASY,"$a = -5 - (-8)$, $b = 3 \times (-2)$일 때, $a - b$의 값을 구하시오.",9
PRACTICAL_E_002,실전,EASY,"일차방정식 $3(x - 2) = x + 4$의 해를 구하시오.",5
PRACTICAL_E_003,실전,EASY,"$(x^2)^3 \div x^4 = x^a$를 만족시키는 자연수 $a$의 값을 구하시오.",2
PRACTICAL_E_004,실전,EASY,"$\sqrt{12} \times \sqrt{3} - \sqrt{25}$의 값을 구하시오.",1
PRACTICAL_E_005,실전,EASY,"자연수 $60$의 서로 다른 소인수의 개수를 구하시오.",3
PRACTICAL_E_006,실전,EASY,"연립방정식 $2x + y = 8$, $x - y = 1$의 해가 $x=a, y=b$일 때, $a \times b$의 값을 구하시오.",6
PRACTICAL_E_007,실전,EASY,"이차방정식 $x^2 - 7x + 10 = 0$의 두 근의 차(큰 근에서 작은 근을 뺀 값)를 구하시오.",3
PRACTICAL_E_008,실전,EASY,"일차함수 $y = -2x + 5$의 그래프가 점 $(a, -3)$을 지날 때, 상수 $a$의 값을 구하시오.",4
PRACTICAL_E_009,실전,EASY,"좌표평면 위의 두 점 $(1, 3)$, $(3, 7)$을 지나는 직선의 기울기를 구하시오.",2
PRACTICAL_E_010,실전,EASY,"다항식 $x^2 + 5x - 14$가 $(x+a)(x-b)$로 인수분해될 때, 두 양수 $a, b$에 대하여 $a-b$의 값을 구하시오.",5
PRACTICAL_E_011,실전,EASY,"수직선 위에서 절댓값이 $4$인 두 수에 대응하는 두 점 사이의 거리를 구하시오.",8
PRACTICAL_E_012,실전,EASY,"일차부등식 $3x - 2 < x + 5$를 만족시키는 가장 큰 정수 $x$의 값을 구하시오.",3
PRACTICAL_E_013,실전,EASY,"이차함수 $y = 2(x-1)^2 + 3$의 그래프의 $y$절편을 구하시오.",5
PRACTICAL_E_014,실전,EASY,"네 개의 변량 $4$, $6$, $x$, $10$의 평균이 $7$일 때, $x$의 값을 구하시오.",8
PRACTICAL_E_015,실전,EASY,"분수 $\frac{7}{20}$을 소수로 나타내면 $0.a5$일 때, 한 자리 자연수 $a$의 값을 구하시오.",3
PRACTICAL_E_016,실전,EASY,"$\sqrt{24n}$이 자연수가 되도록 하는 가장 작은 자연수 $n$의 값을 구하시오.",6
PRACTICAL_E_017,실전,EASY,"비례식 $3 : (x-1) = 5 : 10$을 만족시키는 $x$의 값을 구하시오.",7
PRACTICAL_E_018,실전,EASY,"단항식 $(2x^2 y)^3 \div (xy)^2$을 간단히 하였을 때, 계수를 구하시오.",8
PRACTICAL_E_019,실전,EASY,"이차방정식 $3x^2 - 12 = 0$의 양수인 근을 구하시오.",2
PRACTICAL_E_020,실전,EASY,"가로의 길이가 $2$, 세로의 길이가 $3$이고 부피가 $24$인 직육면체의 높이를 구하시오.",4
PRACTICAL_E_021,실전,EASY,"주머니 속에 붉은 공 $3$개와 푸른 공 $5$개가 들어 있다. 임의로 한 개의 공을 꺼낼 때 붉은 공이 나올 확률이 $\frac{a}{b}$이다. 서로소인 두 자연수 $a, b$에 대하여 $b-a$의 값을 구하시오.",5
PRACTICAL_E_022,실전,EASY,"가로의 길이가 $3$, 세로의 길이가 $4$인 직사각형의 대각선의 길이를 구하시오.",5
PRACTICAL_E_023,실전,EASY,"일차함수 $y = ax + b$의 그래프가 $y = 3x - 1$의 그래프와 평행하고 $y$절편이 $4$일 때, $a+b$의 값을 구하시오.",7
PRACTICAL_E_024,실전,EASY,"이차함수 $y = -(x-2)^2 + 9$의 최댓값을 구하시오.",9
PRACTICAL_E_025,실전,EASY,"다섯 개의 자료 $1$, $2$, $3$, $4$, $5$의 분산을 구하시오.",2
PRACTICAL_H_001,실전,HARD,"이차방정식 $x^2 - x - 12 = 0$의 두 근을 $\alpha, \beta$라 할 때, $|\alpha - \beta|$의 값을 구하시오.",7
PRACTICAL_H_002,실전,HARD,"연립방정식 $2x + ay = 5$, $bx - 3y = 7$의 해가 $x=1, y=-1$일 때, 상수 $a, b$에 대하여 $a+b$의 값을 구하시오.",1
PRACTICAL_H_003,실전,HARD,"일차부등식 $2x - 3 < 5x - 12$를 만족시키는 가장 작은 정수 $x$의 값을 구하시오.",4
PRACTICAL_H_004,실전,HARD,"$\sqrt{45} - \sqrt{20} + a\sqrt{5} = 4\sqrt{5}$를 만족시키는 유리수 $a$의 값을 구하시오.",3
PRACTICAL_H_005,실전,HARD,"$x$에 대한 이차방정식 $x^2 - kx + k + 3 = 0$이 중근을 가질 때, 모든 상수 $k$의 값의 합을 구하시오.",4
PRACTICAL_H_006,실전,HARD,"일차함수 $y = -3x + a$의 그래프와 $x$축, $y$축으로 둘러싸인 삼각형의 넓이가 $6$일 때, 양수 $a$의 값을 구하시오.",6
PRACTICAL_H_007,실전,HARD,"자연수 $A = 2^x \times 3^2 \times 5$의 양의 약수의 개수가 $24$일 때, 자연수 $x$의 값을 구하시오.",3
PRACTICAL_H_008,실전,HARD,"서로 다른 두 개의 주사위를 동시에 던질 때, 나오는 두 눈의 수의 합이 소수일 확률은 $\frac{a}{b}$이다. 서로소인 두 자연수 $a, b$에 대하여 $b - 2a$의 값을 구하시오.",2
PRACTICAL_H_009,실전,HARD,"다항식 $(2x - y + 1)(x + 3y - 2)$를 전개한 식에서 $xy$의 계수를 구하시오.",5
PRACTICAL_H_010,실전,HARD,"이차함수 $y = -x^2 + 4x + k$의 최댓값이 $7$일 때, 상수 $k$의 값을 구하시오.",3
PRACTICAL_H_011,실전,HARD,"좌표평면 위의 두 점 $A(1, -2)$, $B(4, 2)$ 사이의 거리를 구하시오.",5
PRACTICAL_H_012,실전,HARD,"순환소수 $0.\dot{2}$에 어떤 자연수 $x$를 곱하였더니 순환소수 $1.\dot{7}$이 되었다. 이때 자연수 $x$의 값을 구하시오.",8
PRACTICAL_H_013,실전,HARD,"연립부등식 $2x - 1 \le 5$, $3x - a \ge 0$을 만족시키는 정수 $x$가 $1$, $2$, $3$뿐일 때, 조건을 만족시키는 상수 $a$의 값 중 가장 큰 정수를 구하시오.",3
PRACTICAL_H_014,실전,HARD,"다섯 개의 변량 $2$, $4$, $6$, $8$, $a$의 평균이 $6$일 때, 이 자료의 분산을 구하시오.",8
PRACTICAL_H_015,실전,HARD,"$\frac{2}{\sqrt{3}-1} - \frac{2}{\sqrt{3}+1}$의 값을 구하시오.",2
PRACTICAL_H_016,실전,HARD,"$0$이 아닌 두 실수 $x, y$가 $3x = 2y$를 만족시킬 때, $\frac{2x+y}{y-x}$의 값을 구하시오.",7
PRACTICAL_H_017,실전,HARD,"자연수 $2^5 \times 5^4$은 $n$자리 자연수이고, 각 자리의 숫자의 합은 $a$이다. 이때 $n+a$의 값을 구하시오.",7
PRACTICAL_H_018,실전,HARD,"두 일차함수 $y = 2x - 3$과 $y = -x + 6$의 그래프의 교점의 좌표를 $(a, b)$라 할 때, $a+b$의 값을 구하시오.",6
PRACTICAL_H_019,실전,HARD,"이차함수 $y = 2x^2$의 그래프를 $x$축의 방향으로 $p$만큼, $y$축의 방향으로 $q$만큼 평행이동하면 이차함수 $y = 2x^2 - 8x + 13$의 그래프와 완전히 포개어진다. 이때 상수 $p, q$에 대하여 $p+q$의 값을 구하시오.",7
PRACTICAL_H_020,실전,HARD,"대각선의 총 개수가 $14$개인 다각형의 꼭짓점의 개수를 구하시오.",7
PRACTICAL_H_021,실전,HARD,"$10\%$ 소금물 $x\mathrm{g}$과 $20\%$ 소금물 $y\mathrm{g}$을 섞어 $16\%$ 소금물 $100\mathrm{g}$을 만들었다. 이때 $\frac{x}{10}$의 값을 구하시오.",4
PRACTICAL_H_022,실전,HARD,"$x = \sqrt{3} + 2$일 때, $x^2 - 4x + 5$의 값을 구하시오.",4
PRACTICAL_H_023,실전,HARD,"어떤 일을 완성하는 데 $A$ 혼자서는 $12$일이 걸리고, $B$ 혼자서는 $6$일이 걸린다고 한다. 이 일을 $A$와 $B$가 함께 하여 완성하는 데 걸리는 날수를 구하시오.",4
PRACTICAL_H_024,실전,HARD,"좌표평면 위의 세 점 $O(0, 0)$, $A(6, 0)$, $B(0, 8)$을 꼭짓점으로 하는 삼각형 $OAB$에 내접하는 원의 반지름의 길이를 구하시오.",2
PRACTICAL_H_025,실전,HARD,"남학생 $3$명과 여학생 $2$명이 일렬로 설 때, 여학생 $2$명이 서로 이웃하게 설 확률은 $\frac{a}{b}$이다. 서로소인 두 자연수 $a, b$에 대하여 $a+b$의 값을 구하시오.",7
PRACTICAL_VH_001,실전,VERY HARD,"이차함수 $y = x^2 - 2ax + 3a + 4$의 최솟값이 $-6$일 때, 상수 $a$가 될 수 있는 모든 값의 합을 구하시오.",3
PRACTICAL_VH_002,실전,VERY HARD,"서로 다른 두 개의 주사위를 던져 나온 눈의 수를 각각 $a, b$라 하자. $x$에 대한 일차방정식 $ax=b$의 해가 정수일 확률은 $\frac{q}{p}$이다. 서로소인 두 자연수 $p, q$에 대하여 $p-2q$의 값을 구하시오.",4
PRACTICAL_VH_003,실전,VERY HARD,"$\sqrt{150 - 3x}$가 정수가 되도록 하는 자연수 $x$의 개수를 구하시오.",5
PRACTICAL_VH_004,실전,VERY HARD,"약수의 개수가 $12$개인 자연수 중 두 번째로 작은 수를 $M$이라 할 때, $M$의 모든 소인수의 합을 구하시오.",5
PRACTICAL_VH_005,실전,VERY HARD,"좌표평면 위의 세 점 $A(0, 4), B(4, 0), C(a, 2a)$를 꼭짓점으로 하는 삼각형 $ABC$의 넓이가 $10$일 때, 정수 $a$의 값을 구하시오.",3
PRACTICAL_VH_006,실전,VERY HARD,"$10\%$ 소금물 $x\mathrm{g}$과 $20\%$ 소금물 $y\mathrm{g}$을 섞은 후, 물 $50\mathrm{g}$을 증발시켰더니 $24\%$의 소금물 $150\mathrm{g}$이 되었다. 이때 $\frac{x}{10}$의 값을 구하시오.",4
PRACTICAL_VH_007,실전,VERY HARD,"자연수 $N = 2^{15} \times 5^{12} \times 3^2$이 $m$자리 자연수이고 각 자리의 숫자의 합이 $k$일 때, $m-k$의 값을 구하시오.",5
PRACTICAL_VH_008,실전,VERY HARD,"$x, y$에 대한 연립방정식 $ax - 2y = 4$와 $3x + by = -6$의 해가 무수히 많을 때, 상수 $a, b$에 대하여 $b-a$의 값을 구하시오.",5
PRACTICAL_VH_009,실전,VERY HARD,"이차함수 $y = x^2 - 4kx + 4k^2 + k - 2$의 그래프의 꼭짓점이 일차함수 $y = -2x + 13$의 그래프 위에 있을 때, 상수 $k$의 값을 구하시오.",3
PRACTICAL_VH_010,실전,VERY HARD,"다항식 $x^2 y - x^2 - 4y + 4$가 $(x-a)(x+a)(y-b)$로 인수분해될 때, 양수 $a, b$에 대하여 $a+b$의 값을 구하시오.",3
PRACTICAL_VH_011,실전,VERY HARD,"두 수 $\sqrt{12x}$와 $\sqrt{40-y}$가 서로 같은 자연수가 되도록 하는 자연수 $x, y$에 대하여 $x+y$의 값을 구하시오.",7
PRACTICAL_VH_012,실전,VERY HARD,"두 일차방정식 $x - y = -2$와 $x + y = 4$의 그래프와 $x$축으로 둘러싸인 삼각형의 넓이를 구하시오.",9
PRACTICAL_VH_013,실전,VERY HARD,"네 개의 변량 $a, b, c, d$의 평균이 $5$이고 분산이 $4$이다. 변량 $2a-1, 2b-1, 2c-1, 2d-1$의 표준편차를 구하시오.",4
PRACTICAL_VH_014,실전,VERY HARD,"직각삼각형 $ABC$에서 $\angle A = 90^\circ$이고 변 $AB = 6$, 변 $AC = 8$이다. 점 $A$에서 빗변 $BC$에 내린 수선의 발을 $H$라 할 때, 선분 $AH$의 길이는 $\frac{a}{b}$이다. 서로소인 두 자연수 $a, b$에 대하여 $a-4b$의 값을 구하시오.",4
PRACTICAL_VH_015,실전,VERY HARD,"연립부등식 $3x - 2 < 2x + a$와 $4x + 1 \ge 3x - 2$를 동시에 만족시키는 정수 $x$의 개수가 정확히 $5$개일 때, 정수 $a$의 값을 구하시오.",0
PRACTICAL_VH_016,실전,VERY HARD,"이차방정식 $x^2 - ax + 12 = 0$의 두 근이 모두 자연수일 때, 상수 $a$가 가질 수 있는 가장 큰 값과 가장 작은 값의 차를 구하시오.",6
PRACTICAL_VH_017,실전,VERY HARD,"$x + y = 3, xy = 1$일 때, $\frac{x^3 + y^3}{x^2 + y^2 - 1}$의 값을 구하시오.",3
PRACTICAL_VH_018,실전,VERY HARD,"$1$부터 $10$까지의 자연수가 각각 하나씩 적힌 $10$장의 카드 중에서 임의로 두 장의 카드를 동시에 뽑을 때, 뽑힌 두 카드에 적힌 수의 곱이 짝수일 확률은 $\frac{q}{p}$이다. 서로소인 두 자연수 $p, q$에 대하여 $p-q$의 값을 구하시오.",2
PRACTICAL_VH_019,실전,VERY HARD,"일차함수 $f(x) = ax + b$에 대하여 $f(1) = 3$이고 $f(f(1)) = 7$을 만족시킬 때, $a^2 - b^2$의 값을 구하시오.",3
PRACTICAL_VH_020,실전,VERY HARD,"밑면의 반지름의 길이가 $r$이고 높이가 $h$인 원뿔의 부피가 $18\pi$이다. 밑면의 반지름의 길이를 $2$배로 하고 높이를 $\frac{1}{3}$배로 한 새로운 원뿔의 부피는 $k\pi$이다. 이때 자연수 $k$를 $5$로 나눈 나머지를 구하시오.",4
PRACTICAL_VH_021,실전,VERY HARD,"두 자리 자연수 $A$에 대하여 분수 $\frac{A}{140}$를 소수로 나타내면 유한소수가 되고, 기약분수로 나타내면 $\frac{3}{B}$이 된다. 이를 만족시키는 가장 작은 $A$에 대하여 $A-B$의 값을 구하시오.",1
PRACTICAL_VH_022,실전,VERY HARD,"이차방정식 $x^2 - 3x + 1 = 0$의 두 근을 $\alpha, \beta$라 할 때, $\alpha^2 + \beta^2$의 값을 구하시오.",7
PRACTICAL_VH_023,실전,VERY HARD,"어느 중학교의 올해 남학생 수는 작년에 비해 $5\%$ 증가하고 여학생 수는 $10\%$ 감소하여, 전체 학생 수는 작년과 같은 $600$명이다. 올해의 남학생 수를 $x$라 할 때, $x$의 각 자리 숫자의 합을 구하시오.",6
PRACTICAL_VH_024,실전,VERY HARD,"$n^2 + 4n + 27$이 어떤 자연수의 제곱이 되도록 하는 가장 큰 자연수 $n$의 값을 구하시오.",9
PRACTICAL_VH_025,실전,VERY HARD,"세 점 $A(-3, 4), B(5, 0), C(3, 6)$을 꼭짓점으로 하는 삼각형 $ABC$의 넓이를 점 $C$를 지나는 직선 $y=ax+b$가 이등분할 때, $a-b$의 값을 구하시오.",2
PRACTICAL_T_001,실전,TOUGH,"자연수 $x, y$에 대하여 $\sqrt{180x}$와 $\sqrt{108y}$가 각각 가장 작은 자연수가 되도록 할 때, $x+y$의 값을 구하시오.",8
PRACTICAL_T_002,실전,TOUGH,"이차함수 $y = -x^2 + 2kx + 3k$의 최댓값이 $10$일 때, 양수 $k$의 값을 구하시오.",2
PRACTICAL_T_003,실전,TOUGH,"세 실수 $x, y, z$가 $\frac{x-1}{2} = \frac{y+1}{3} = \frac{z-2}{4}$를 만족하고 $x+y+z = 11$일 때, $z-x$의 값을 구하시오.",3
PRACTICAL_T_004,실전,TOUGH,"$x$에 대한 다항식 $x^4 + 4x^3 - 2x^2 - 12x + 9$가 $(x^2 + ax + b)^2$으로 인수분해될 때, 상수 $a, b$에 대하여 $a-b$의 값을 구하시오.",5
PRACTICAL_T_005,실전,TOUGH,"붉은 공 $3$개, 푸른 공 $4$개, 노란 공 $5$개가 들어 있는 주머니에서 임의로 공을 한 번에 한 개씩 세 번 꺼낼 때, 붉은 공, 푸른 공, 노란 공이 각각 한 개씩 나올 확률은 $\frac{q}{p}$이다. 꺼낸 공은 다시 넣지 않는다고 할 때, 서로소인 두 자연수 $p, q$에 대하여 $p-q$의 값을 구하시오.",8
